mobility_type,x_time,y_ridership_change,state,city,x_date
residential_percent_change_from_baseline,55620,0.0,California,Los Angeles County,01-Mar
retail_and_recreation_percent_change_from_baseline,55621,5.0,California,Los Angeles County,02-Mar
grocery_and_pharmacy_percent_change_from_baseline,55621,5.0,California,Los Angeles County,02-Mar
parks_percent_change_from_baseline,55621,8.0,California,Los Angeles County,02-Mar
transit_stations_percent_change_from_baseline,55621,1.0,California,Los Angeles County,02-Mar
workplaces_percent_change_from_baseline,55621,4.0,California,Los Angeles County,02-Mar
residential_percent_change_from_baseline,55621,-1.0,California,Los Angeles County,02-Mar
retail_and_recreation_percent_change_from_baseline,55622,8.0,California,Los Angeles County,03-Mar
grocery_and_pharmacy_percent_change_from_baseline,55622,7.0,California,Los Angeles County,03-Mar
parks_percent_change_from_baseline,55622,32.0,California,Los Angeles County,03-Mar
transit_stations_percent_change_from_baseline,55622,2.0,California,Los Angeles County,03-Mar
workplaces_percent_change_from_baseline,55622,3.0,California,Los Angeles County,03-Mar
residential_percent_change_from_baseline,55622,-1.0,California,Los Angeles County,03-Mar
retail_and_recreation_percent_change_from_baseline,55623,4.0,California,Los Angeles County,04-Mar
grocery_and_pharmacy_percent_change_from_baseline,55623,6.0,California,Los Angeles County,04-Mar
parks_percent_change_from_baseline,55623,9.0,California,Los Angeles County,04-Mar
transit_stations_percent_change_from_baseline,55623,-1.0,California,Los Angeles County,04-Mar
workplaces_percent_change_from_baseline,55623,2.0,California,Los Angeles County,04-Mar
residential_percent_change_from_baseline,55623,0.0,California,Los Angeles County,04-Mar
retail_and_recreation_percent_change_from_baseline,55624,4.0,California,Los Angeles County,05-Mar
grocery_and_pharmacy_percent_change_from_baseline,55624,7.0,California,Los Angeles County,05-Mar
parks_percent_change_from_baseline,55624,9.0,California,Los Angeles County,05-Mar
transit_stations_percent_change_from_baseline,55624,0.0,California,Los Angeles County,05-Mar
workplaces_percent_change_from_baseline,55624,2.0,California,Los Angeles County,05-Mar
residential_percent_change_from_baseline,55624,0.0,California,Los Angeles County,05-Mar
retail_and_recreation_percent_change_from_baseline,55625,3.0,California,Los Angeles County,06-Mar
grocery_and_pharmacy_percent_change_from_baseline,55625,6.0,California,Los Angeles County,06-Mar
parks_percent_change_from_baseline,55625,7.0,California,Los Angeles County,06-Mar
transit_stations_percent_change_from_baseline,55625,-2.0,California,Los Angeles County,06-Mar
workplaces_percent_change_from_baseline,55625,2.0,California,Los Angeles County,06-Mar
residential_percent_change_from_baseline,55625,0.0,California,Los Angeles County,06-Mar
retail_and_recreation_percent_change_from_baseline,55626,1.0,California,Los Angeles County,07-Mar
grocery_and_pharmacy_percent_change_from_baseline,55626,6.0,California,Los Angeles County,07-Mar
parks_percent_change_from_baseline,55626,3.0,California,Los Angeles County,07-Mar
transit_stations_percent_change_from_baseline,55626,-4.0,California,Los Angeles County,07-Mar
workplaces_percent_change_from_baseline,55626,2.0,California,Los Angeles County,07-Mar
residential_percent_change_from_baseline,55626,0.0,California,Los Angeles County,07-Mar
retail_and_recreation_percent_change_from_baseline,55627,3.0,California,Los Angeles County,08-Mar
grocery_and_pharmacy_percent_change_from_baseline,55627,4.0,California,Los Angeles County,08-Mar
parks_percent_change_from_baseline,55627,16.0,California,Los Angeles County,08-Mar
transit_stations_percent_change_from_baseline,55627,-4.0,California,Los Angeles County,08-Mar
workplaces_percent_change_from_baseline,55627,1.0,California,Los Angeles County,08-Mar
residential_percent_change_from_baseline,55627,0.0,California,Los Angeles County,08-Mar
retail_and_recreation_percent_change_from_baseline,55628,3.0,California,Los Angeles County,09-Mar
grocery_and_pharmacy_percent_change_from_baseline,55628,7.0,California,Los Angeles County,09-Mar
parks_percent_change_from_baseline,55628,6.0,California,Los Angeles County,09-Mar
transit_stations_percent_change_from_baseline,55628,-4.0,California,Los Angeles County,09-Mar
workplaces_percent_change_from_baseline,55628,3.0,California,Los Angeles County,09-Mar
residential_percent_change_from_baseline,55628,0.0,California,Los Angeles County,09-Mar
retail_and_recreation_percent_change_from_baseline,55629,-3.0,California,Los Angeles County,10-Mar
grocery_and_pharmacy_percent_change_from_baseline,55629,3.0,California,Los Angeles County,10-Mar
parks_percent_change_from_baseline,55629,-29.0,California,Los Angeles County,10-Mar
transit_stations_percent_change_from_baseline,55629,-13.0,California,Los Angeles County,10-Mar
workplaces_percent_change_from_baseline,55629,-2.0,California,Los Angeles County,10-Mar
residential_percent_change_from_baseline,55629,3.0,California,Los Angeles County,10-Mar
retail_and_recreation_percent_change_from_baseline,55630,2.0,California,Los Angeles County,11-Mar
grocery_and_pharmacy_percent_change_from_baseline,55630,11.0,California,Los Angeles County,11-Mar
parks_percent_change_from_baseline,55630,5.0,California,Los Angeles County,11-Mar
transit_stations_percent_change_from_baseline,55630,-6.0,California,Los Angeles County,11-Mar
workplaces_percent_change_from_baseline,55630,0.0,California,Los Angeles County,11-Mar
residential_percent_change_from_baseline,55630,1.0,California,Los Angeles County,11-Mar
retail_and_recreation_percent_change_from_baseline,55631,-8.0,California,Los Angeles County,12-Mar
grocery_and_pharmacy_percent_change_from_baseline,55631,12.0,California,Los Angeles County,12-Mar
parks_percent_change_from_baseline,55631,-35.0,California,Los Angeles County,12-Mar
transit_stations_percent_change_from_baseline,55631,-19.0,California,Los Angeles County,12-Mar
workplaces_percent_change_from_baseline,55631,-3.0,California,Los Angeles County,12-Mar
residential_percent_change_from_baseline,55631,4.0,California,Los Angeles County,12-Mar
retail_and_recreation_percent_change_from_baseline,55632,-5.0,California,Los Angeles County,13-Mar
grocery_and_pharmacy_percent_change_from_baseline,55632,37.0,California,Los Angeles County,13-Mar
parks_percent_change_from_baseline,55632,-37.0,California,Los Angeles County,13-Mar
transit_stations_percent_change_from_baseline,55632,-21.0,California,Los Angeles County,13-Mar
workplaces_percent_change_from_baseline,55632,-7.0,California,Los Angeles County,13-Mar
residential_percent_change_from_baseline,55632,6.0,California,Los Angeles County,13-Mar
retail_and_recreation_percent_change_from_baseline,55633,-14.0,California,Los Angeles County,14-Mar
grocery_and_pharmacy_percent_change_from_baseline,55633,27.0,California,Los Angeles County,14-Mar
parks_percent_change_from_baseline,55633,-47.0,California,Los Angeles County,14-Mar
transit_stations_percent_change_from_baseline,55633,-23.0,California,Los Angeles County,14-Mar
workplaces_percent_change_from_baseline,55633,-7.0,California,Los Angeles County,14-Mar
residential_percent_change_from_baseline,55633,7.0,California,Los Angeles County,14-Mar
retail_and_recreation_percent_change_from_baseline,55634,-16.0,California,Los Angeles County,15-Mar
grocery_and_pharmacy_percent_change_from_baseline,55634,12.0,California,Los Angeles County,15-Mar
parks_percent_change_from_baseline,55634,-22.0,California,Los Angeles County,15-Mar
transit_stations_percent_change_from_baseline,55634,-21.0,California,Los Angeles County,15-Mar
workplaces_percent_change_from_baseline,55634,-9.0,California,Los Angeles County,15-Mar
residential_percent_change_from_baseline,55634,6.0,California,Los Angeles County,15-Mar
retail_and_recreation_percent_change_from_baseline,55635,-19.0,California,Los Angeles County,16-Mar
grocery_and_pharmacy_percent_change_from_baseline,55635,12.0,California,Los Angeles County,16-Mar
parks_percent_change_from_baseline,55635,-40.0,California,Los Angeles County,16-Mar
transit_stations_percent_change_from_baseline,55635,-29.0,California,Los Angeles County,16-Mar
workplaces_percent_change_from_baseline,55635,-22.0,California,Los Angeles County,16-Mar
residential_percent_change_from_baseline,55635,11.0,California,Los Angeles County,16-Mar
retail_and_recreation_percent_change_from_baseline,55636,-24.0,California,Los Angeles County,17-Mar
grocery_and_pharmacy_percent_change_from_baseline,55636,8.0,California,Los Angeles County,17-Mar
parks_percent_change_from_baseline,55636,-21.0,California,Los Angeles County,17-Mar
transit_stations_percent_change_from_baseline,55636,-30.0,California,Los Angeles County,17-Mar
workplaces_percent_change_from_baseline,55636,-29.0,California,Los Angeles County,17-Mar
residential_percent_change_from_baseline,55636,14.0,California,Los Angeles County,17-Mar
retail_and_recreation_percent_change_from_baseline,55637,-28.0,California,Los Angeles County,18-Mar
grocery_and_pharmacy_percent_change_from_baseline,55637,3.0,California,Los Angeles County,18-Mar
parks_percent_change_from_baseline,55637,-12.0,California,Los Angeles County,18-Mar
transit_stations_percent_change_from_baseline,55637,-33.0,California,Los Angeles County,18-Mar
workplaces_percent_change_from_baseline,55637,-33.0,California,Los Angeles County,18-Mar
residential_percent_change_from_baseline,55637,16.0,California,Los Angeles County,18-Mar
retail_and_recreation_percent_change_from_baseline,55638,-32.0,California,Los Angeles County,19-Mar
grocery_and_pharmacy_percent_change_from_baseline,55638,3.0,California,Los Angeles County,19-Mar
parks_percent_change_from_baseline,55638,-30.0,California,Los Angeles County,19-Mar
transit_stations_percent_change_from_baseline,55638,-39.0,California,Los Angeles County,19-Mar
workplaces_percent_change_from_baseline,55638,-35.0,California,Los Angeles County,19-Mar
residential_percent_change_from_baseline,55638,18.0,California,Los Angeles County,19-Mar
retail_and_recreation_percent_change_from_baseline,55639,-40.0,California,Los Angeles County,20-Mar
grocery_and_pharmacy_percent_change_from_baseline,55639,-5.0,California,Los Angeles County,20-Mar
parks_percent_change_from_baseline,55639,-29.0,California,Los Angeles County,20-Mar
transit_stations_percent_change_from_baseline,55639,-44.0,California,Los Angeles County,20-Mar
workplaces_percent_change_from_baseline,55639,-41.0,California,Los Angeles County,20-Mar
residential_percent_change_from_baseline,55639,22.0,California,Los Angeles County,20-Mar
retail_and_recreation_percent_change_from_baseline,55640,-48.0,California,Los Angeles County,21-Mar
grocery_and_pharmacy_percent_change_from_baseline,55640,-13.0,California,Los Angeles County,21-Mar
parks_percent_change_from_baseline,55640,-28.0,California,Los Angeles County,21-Mar
transit_stations_percent_change_from_baseline,55640,-46.0,California,Los Angeles County,21-Mar
workplaces_percent_change_from_baseline,55640,-34.0,California,Los Angeles County,21-Mar
residential_percent_change_from_baseline,55640,18.0,California,Los Angeles County,21-Mar
retail_and_recreation_percent_change_from_baseline,55641,-52.0,California,Los Angeles County,22-Mar
grocery_and_pharmacy_percent_change_from_baseline,55641,-26.0,California,Los Angeles County,22-Mar
parks_percent_change_from_baseline,55641,-36.0,California,Los Angeles County,22-Mar
transit_stations_percent_change_from_baseline,55641,-54.0,California,Los Angeles County,22-Mar
workplaces_percent_change_from_baseline,55641,-38.0,California,Los Angeles County,22-Mar
residential_percent_change_from_baseline,55641,16.0,California,Los Angeles County,22-Mar
retail_and_recreation_percent_change_from_baseline,55642,-42.0,California,Los Angeles County,23-Mar
grocery_and_pharmacy_percent_change_from_baseline,55642,-19.0,California,Los Angeles County,23-Mar
parks_percent_change_from_baseline,55642,-32.0,California,Los Angeles County,23-Mar
transit_stations_percent_change_from_baseline,55642,-49.0,California,Los Angeles County,23-Mar
workplaces_percent_change_from_baseline,55642,-47.0,California,Los Angeles County,23-Mar
residential_percent_change_from_baseline,55642,22.0,California,Los Angeles County,23-Mar
retail_and_recreation_percent_change_from_baseline,55643,-43.0,California,Los Angeles County,24-Mar
grocery_and_pharmacy_percent_change_from_baseline,55643,-20.0,California,Los Angeles County,24-Mar
parks_percent_change_from_baseline,55643,-34.0,California,Los Angeles County,24-Mar
transit_stations_percent_change_from_baseline,55643,-50.0,California,Los Angeles County,24-Mar
workplaces_percent_change_from_baseline,55643,-49.0,California,Los Angeles County,24-Mar
residential_percent_change_from_baseline,55643,23.0,California,Los Angeles County,24-Mar
retail_and_recreation_percent_change_from_baseline,55644,-43.0,California,Los Angeles County,25-Mar
grocery_and_pharmacy_percent_change_from_baseline,55644,-20.0,California,Los Angeles County,25-Mar
parks_percent_change_from_baseline,55644,-34.0,California,Los Angeles County,25-Mar
transit_stations_percent_change_from_baseline,55644,-50.0,California,Los Angeles County,25-Mar
workplaces_percent_change_from_baseline,55644,-49.0,California,Los Angeles County,25-Mar
residential_percent_change_from_baseline,55644,23.0,California,Los Angeles County,25-Mar
retail_and_recreation_percent_change_from_baseline,55645,-43.0,California,Los Angeles County,26-Mar
grocery_and_pharmacy_percent_change_from_baseline,55645,-20.0,California,Los Angeles County,26-Mar
parks_percent_change_from_baseline,55645,-35.0,California,Los Angeles County,26-Mar
transit_stations_percent_change_from_baseline,55645,-51.0,California,Los Angeles County,26-Mar
workplaces_percent_change_from_baseline,55645,-50.0,California,Los Angeles County,26-Mar
residential_percent_change_from_baseline,55645,24.0,California,Los Angeles County,26-Mar
retail_and_recreation_percent_change_from_baseline,55646,-45.0,California,Los Angeles County,27-Mar
grocery_and_pharmacy_percent_change_from_baseline,55646,-19.0,California,Los Angeles County,27-Mar
parks_percent_change_from_baseline,55646,-34.0,California,Los Angeles County,27-Mar
transit_stations_percent_change_from_baseline,55646,-51.0,California,Los Angeles County,27-Mar
workplaces_percent_change_from_baseline,55646,-49.0,California,Los Angeles County,27-Mar
residential_percent_change_from_baseline,55646,25.0,California,Los Angeles County,27-Mar
retail_and_recreation_percent_change_from_baseline,55647,-50.0,California,Los Angeles County,28-Mar
grocery_and_pharmacy_percent_change_from_baseline,55647,-21.0,California,Los Angeles County,28-Mar
parks_percent_change_from_baseline,55647,-52.0,California,Los Angeles County,28-Mar
transit_stations_percent_change_from_baseline,55647,-52.0,California,Los Angeles County,28-Mar
workplaces_percent_change_from_baseline,55647,-39.0,California,Los Angeles County,28-Mar
residential_percent_change_from_baseline,55647,20.0,California,Los Angeles County,28-Mar
retail_and_recreation_percent_change_from_baseline,55648,-51.0,California,Los Angeles County,29-Mar
grocery_and_pharmacy_percent_change_from_baseline,55648,-27.0,California,Los Angeles County,29-Mar
parks_percent_change_from_baseline,55648,-48.0,California,Los Angeles County,29-Mar
transit_stations_percent_change_from_baseline,55648,-54.0,California,Los Angeles County,29-Mar
workplaces_percent_change_from_baseline,55648,-41.0,California,Los Angeles County,29-Mar
residential_percent_change_from_baseline,55648,17.0,California,Los Angeles County,29-Mar
retail_and_recreation_percent_change_from_baseline,55649,-42.0,California,Los Angeles County,30-Mar
grocery_and_pharmacy_percent_change_from_baseline,55649,-23.0,California,Los Angeles County,30-Mar
parks_percent_change_from_baseline,55649,-34.0,California,Los Angeles County,30-Mar
transit_stations_percent_change_from_baseline,55649,-52.0,California,Los Angeles County,30-Mar
workplaces_percent_change_from_baseline,55649,-51.0,California,Los Angeles County,30-Mar
residential_percent_change_from_baseline,55649,22.0,California,Los Angeles County,30-Mar
retail_and_recreation_percent_change_from_baseline,55650,-42.0,California,Los Angeles County,31-Mar
grocery_and_pharmacy_percent_change_from_baseline,55650,-22.0,California,Los Angeles County,31-Mar
parks_percent_change_from_baseline,55650,-38.0,California,Los Angeles County,31-Mar
transit_stations_percent_change_from_baseline,55650,-50.0,California,Los Angeles County,31-Mar
workplaces_percent_change_from_baseline,55650,-51.0,California,Los Angeles County,31-Mar
residential_percent_change_from_baseline,55650,23.0,California,Los Angeles County,31-Mar
retail_and_recreation_percent_change_from_baseline,55651,-41.0,California,Los Angeles County,01-Apr
grocery_and_pharmacy_percent_change_from_baseline,55651,-18.0,California,Los Angeles County,01-Apr
parks_percent_change_from_baseline,55651,-34.0,California,Los Angeles County,01-Apr
transit_stations_percent_change_from_baseline,55651,-49.0,California,Los Angeles County,01-Apr
workplaces_percent_change_from_baseline,55651,-52.0,California,Los Angeles County,01-Apr
residential_percent_change_from_baseline,55651,23.0,California,Los Angeles County,01-Apr
retail_and_recreation_percent_change_from_baseline,55652,-43.0,California,Los Angeles County,02-Apr
grocery_and_pharmacy_percent_change_from_baseline,55652,-19.0,California,Los Angeles County,02-Apr
parks_percent_change_from_baseline,55652,-39.0,California,Los Angeles County,02-Apr
transit_stations_percent_change_from_baseline,55652,-52.0,California,Los Angeles County,02-Apr
workplaces_percent_change_from_baseline,55652,-52.0,California,Los Angeles County,02-Apr
residential_percent_change_from_baseline,55652,25.0,California,Los Angeles County,02-Apr
retail_and_recreation_percent_change_from_baseline,55653,-43.0,California,Los Angeles County,03-Apr
grocery_and_pharmacy_percent_change_from_baseline,55653,-15.0,California,Los Angeles County,03-Apr
parks_percent_change_from_baseline,55653,-38.0,California,Los Angeles County,03-Apr
transit_stations_percent_change_from_baseline,55653,-51.0,California,Los Angeles County,03-Apr
workplaces_percent_change_from_baseline,55653,-51.0,California,Los Angeles County,03-Apr
residential_percent_change_from_baseline,55653,25.0,California,Los Angeles County,03-Apr
retail_and_recreation_percent_change_from_baseline,55654,-50.0,California,Los Angeles County,04-Apr
grocery_and_pharmacy_percent_change_from_baseline,55654,-20.0,California,Los Angeles County,04-Apr
parks_percent_change_from_baseline,55654,-54.0,California,Los Angeles County,04-Apr
transit_stations_percent_change_from_baseline,55654,-51.0,California,Los Angeles County,04-Apr
workplaces_percent_change_from_baseline,55654,-41.0,California,Los Angeles County,04-Apr
residential_percent_change_from_baseline,55654,20.0,California,Los Angeles County,04-Apr
retail_and_recreation_percent_change_from_baseline,55655,-53.0,California,Los Angeles County,05-Apr
grocery_and_pharmacy_percent_change_from_baseline,55655,-27.0,California,Los Angeles County,05-Apr
parks_percent_change_from_baseline,55655,-59.0,California,Los Angeles County,05-Apr
transit_stations_percent_change_from_baseline,55655,-57.0,California,Los Angeles County,05-Apr
workplaces_percent_change_from_baseline,55655,-43.0,California,Los Angeles County,05-Apr
residential_percent_change_from_baseline,55655,17.0,California,Los Angeles County,05-Apr
retail_and_recreation_percent_change_from_baseline,55656,-49.0,California,Los Angeles County,06-Apr
grocery_and_pharmacy_percent_change_from_baseline,55656,-27.0,California,Los Angeles County,06-Apr
parks_percent_change_from_baseline,55656,-58.0,California,Los Angeles County,06-Apr
transit_stations_percent_change_from_baseline,55656,-59.0,California,Los Angeles County,06-Apr
workplaces_percent_change_from_baseline,55656,-54.0,California,Los Angeles County,06-Apr
residential_percent_change_from_baseline,55656,25.0,California,Los Angeles County,06-Apr
retail_and_recreation_percent_change_from_baseline,55657,-51.0,California,Los Angeles County,07-Apr
grocery_and_pharmacy_percent_change_from_baseline,55657,-30.0,California,Los Angeles County,07-Apr
parks_percent_change_from_baseline,55657,-58.0,California,Los Angeles County,07-Apr
transit_stations_percent_change_from_baseline,55657,-58.0,California,Los Angeles County,07-Apr
workplaces_percent_change_from_baseline,55657,-54.0,California,Los Angeles County,07-Apr
residential_percent_change_from_baseline,55657,26.0,California,Los Angeles County,07-Apr
retail_and_recreation_percent_change_from_baseline,55658,-49.0,California,Los Angeles County,08-Apr
grocery_and_pharmacy_percent_change_from_baseline,55658,-27.0,California,Los Angeles County,08-Apr
parks_percent_change_from_baseline,55658,-51.0,California,Los Angeles County,08-Apr
transit_stations_percent_change_from_baseline,55658,-57.0,California,Los Angeles County,08-Apr
workplaces_percent_change_from_baseline,55658,-55.0,California,Los Angeles County,08-Apr
residential_percent_change_from_baseline,55658,26.0,California,Los Angeles County,08-Apr
retail_and_recreation_percent_change_from_baseline,55659,-55.0,California,Los Angeles County,09-Apr
grocery_and_pharmacy_percent_change_from_baseline,55659,-34.0,California,Los Angeles County,09-Apr
parks_percent_change_from_baseline,55659,-69.0,California,Los Angeles County,09-Apr
transit_stations_percent_change_from_baseline,55659,-65.0,California,Los Angeles County,09-Apr
workplaces_percent_change_from_baseline,55659,-57.0,California,Los Angeles County,09-Apr
residential_percent_change_from_baseline,55659,29.0,California,Los Angeles County,09-Apr
retail_and_recreation_percent_change_from_baseline,55660,-49.0,California,Los Angeles County,10-Apr
grocery_and_pharmacy_percent_change_from_baseline,55660,-22.0,California,Los Angeles County,10-Apr
parks_percent_change_from_baseline,55660,-55.0,California,Los Angeles County,10-Apr
transit_stations_percent_change_from_baseline,55660,-58.0,California,Los Angeles County,10-Apr
workplaces_percent_change_from_baseline,55660,-57.0,California,Los Angeles County,10-Apr
residential_percent_change_from_baseline,55660,29.0,California,Los Angeles County,10-Apr
retail_and_recreation_percent_change_from_baseline,55661,-51.0,California,Los Angeles County,11-Apr
grocery_and_pharmacy_percent_change_from_baseline,55661,-19.0,California,Los Angeles County,11-Apr
parks_percent_change_from_baseline,55661,-54.0,California,Los Angeles County,11-Apr
transit_stations_percent_change_from_baseline,55661,-52.0,California,Los Angeles County,11-Apr
workplaces_percent_change_from_baseline,55661,-43.0,California,Los Angeles County,11-Apr
