,State,Mobility Type,t,Observed h(t),Fitted h(t)
22,Alabama,grocery_and_pharmacy_percent_change_from_baseline,22,0.035612853,0.030454066490554405
23,Alabama,grocery_and_pharmacy_percent_change_from_baseline,23,0.023375006,0.02151547044435344
24,Alabama,grocery_and_pharmacy_percent_change_from_baseline,24,0.011670454,0.01341071733407386
25,Alabama,grocery_and_pharmacy_percent_change_from_baseline,25,0.0,0.007149556712520381
26,Alabama,parks_percent_change_from_baseline,0,0.0,0.0
27,Alabama,parks_percent_change_from_baseline,1,0.000336916,0.000590736985085993
28,Alabama,parks_percent_change_from_baseline,2,0.000673456,0.001181473970171986
29,Alabama,parks_percent_change_from_baseline,3,0.001017673,0.001772210955257979
30,Alabama,parks_percent_change_from_baseline,4,0.001395862,0.0023629479403439683
31,Alabama,parks_percent_change_from_baseline,5,0.001701435,0.0029536849254299014
32,Alabama,parks_percent_change_from_baseline,6,0.002051789,0.003544421910515346
33,Alabama,parks_percent_change_from_baseline,7,0.002428402,0.00413515889559781
34,Alabama,parks_percent_change_from_baseline,8,0.002832009,0.0047258958806662595
35,Alabama,parks_percent_change_from_baseline,9,0.003163124,0.005316632865680515
36,Alabama,parks_percent_change_from_baseline,10,0.00323266,0.005907369850514911
37,Alabama,parks_percent_change_from_baseline,11,0.003537678,0.006498106834821029
38,Alabama,parks_percent_change_from_baseline,12,0.003872094,0.007088843817722976
39,Alabama,parks_percent_change_from_baseline,13,0.004731551,0.007679580797190232
40,Alabama,parks_percent_change_from_baseline,14,0.005120326,0.00827031776882556
41,Alabama,parks_percent_change_from_baseline,15,0.005440562,0.008861054723643177
42,Alabama,parks_percent_change_from_baseline,16,0.005537279,0.009451791644176075
43,Alabama,parks_percent_change_from_baseline,17,0.006412728,0.010042528497916764
44,Alabama,parks_percent_change_from_baseline,18,0.006831608,0.010633265226634141
45,Alabama,parks_percent_change_from_baseline,19,0.007490192,0.011224001729485794
46,Alabama,parks_percent_change_from_baseline,20,0.008373358,0.011814737837019123
47,Alabama,parks_percent_change_from_baseline,21,0.00873956,0.012405473272078697
48,Alabama,parks_percent_change_from_baseline,22,0.008924542,0.01299620759225615
49,Alabama,parks_percent_change_from_baseline,23,0.010519755,0.01358694010676955
50,Alabama,parks_percent_change_from_baseline,24,0.011343987,0.0141776697584701
51,Alabama,parks_percent_change_from_baseline,25,0.010360055,0.014768394958963737
52,Alabama,parks_percent_change_from_baseline,26,0.010906575,0.015359113361513353
53,Alabama,parks_percent_change_from_baseline,27,0.011288313,0.015949821552351553
54,Alabama,parks_percent_change_from_baseline,28,0.011991222,0.016540514636172347
55,Alabama,parks_percent_change_from_baseline,29,0.012909959,0.017131185685757905
56,Alabama,parks_percent_change_from_baseline,30,0.013667779,0.017721825018797672
57,Alabama,parks_percent_change_from_baseline,31,0.014356379,0.01831241925682336
58,Alabama,parks_percent_change_from_baseline,32,0.017458118,0.018902950111654507
59,Alabama,parks_percent_change_from_baseline,33,0.019604707,0.01949339283365411
60,Alabama,parks_percent_change_from_baseline,34,0.018177984,0.020083714243251848
61,Alabama,parks_percent_change_from_baseline,35,0.017369933,0.02067387025241587
62,Alabama,parks_percent_change_from_baseline,36,0.018181046,0.021263802765853268
63,Alabama,parks_percent_change_from_baseline,37,0.017927058,0.021853435832508775
64,Alabama,parks_percent_change_from_baseline,38,0.018082783,0.022442670896239827
65,Alabama,parks_percent_change_from_baseline,39,0.018185174,0.02303138097023292
66,Alabama,parks_percent_change_from_baseline,40,0.017741078,0.023619403532700364
67,Alabama,parks_percent_change_from_baseline,41,0.021168146,0.024206531911649554
68,Alabama,parks_percent_change_from_baseline,42,0.027231079,0.024792504894162227
69,Alabama,parks_percent_change_from_baseline,43,0.022095544,0.02537699426095559
70,Alabama,parks_percent_change_from_baseline,44,0.019564522,0.02595958991057592
71,Alabama,parks_percent_change_from_baseline,45,0.019055483,0.02653978220032188
72,Alabama,parks_percent_change_from_baseline,46,0.019701074,0.02711694109433823
73,Alabama,parks_percent_change_from_baseline,47,0.021335226,0.02769029167538266
74,Alabama,parks_percent_change_from_baseline,48,0.021304691,0.028258885548599583
75,Alabama,parks_percent_change_from_baseline,49,0.019631298,0.028821567647519124
76,Alabama,parks_percent_change_from_baseline,50,0.024257745,0.029376937950333002
77,Alabama,parks_percent_change_from_baseline,51,0.029786795,0.02992330763625569
78,Alabama,parks_percent_change_from_baseline,52,0.031208191,0.030458649268064557
79,Alabama,parks_percent_change_from_baseline,53,0.029578984,0.030980540691605028
80,Alabama,parks_percent_change_from_baseline,54,0.026059717,0.03148610251399878
81,Alabama,parks_percent_change_from_baseline,55,0.020299899,0.03197192928205077
82,Alabama,parks_percent_change_from_baseline,56,0.017208063,0.03243401485878706
83,Alabama,parks_percent_change_from_baseline,57,0.015069634,0.032867673022774116
84,Alabama,parks_percent_change_from_baseline,58,0.015014535,0.033267455031105404
85,Alabama,parks_percent_change_from_baseline,59,0.015362883,0.03362706683660185
86,Alabama,parks_percent_change_from_baseline,60,0.017189095,0.033939289879034905
87,Alabama,parks_percent_change_from_baseline,61,0.020192044,0.034195910922904055
88,Alabama,parks_percent_change_from_baseline,62,0.025381396,0.03438766832421666
89,Alabama,parks_percent_change_from_baseline,63,0.037070614,0.03450422438716378
90,Alabama,parks_percent_change_from_baseline,64,0.074603809,0.03453417608934493
91,Alabama,parks_percent_change_from_baseline,65,0.073604651,0.0344651193160647
92,Alabama,parks_percent_change_from_baseline,66,0.072538882,0.03428378465537722
93,Alabama,parks_percent_change_from_baseline,67,0.071406503,0.03397626542994196
94,Alabama,parks_percent_change_from_baseline,68,0.070207513,0.0335283604552145
95,Alabama,parks_percent_change_from_baseline,69,0.068941913,0.03292605425827242
96,Alabama,parks_percent_change_from_baseline,70,0.058848591,0.03215615514539255
97,Alabama,parks_percent_change_from_baseline,71,0.036803901,0.03120710528806538
98,Alabama,parks_percent_change_from_baseline,72,0.024103397,0.030069965440921168
99,Alabama,parks_percent_change_from_baseline,73,0.019717765,0.028739558548651404
100,Alabama,parks_percent_change_from_baseline,74,0.015280569,0.02721573023254395
101,Alabama,parks_percent_change_from_baseline,75,0.013168027,0.025504649766443864
102,Alabama,parks_percent_change_from_baseline,76,0.013066464,0.023620034123437106
103,Alabama,parks_percent_change_from_baseline,77,0.013362767,0.021584134046687884
104,Alabama,parks_percent_change_from_baseline,78,0.013465008,0.019428282361394714
105,Alabama,parks_percent_change_from_baseline,79,0.013705328,0.01719278226684669
106,Alabama,parks_percent_change_from_baseline,80,0.013223318,0.014925921805450946
107,Alabama,parks_percent_change_from_baseline,81,0.014594829,0.01268195583010182
108,Alabama,parks_percent_change_from_baseline,82,0.014141275,0.01051801085256889
109,Alabama,parks_percent_change_from_baseline,83,0.012090464,0.008490043206048481
110,Alabama,parks_percent_change_from_baseline,84,0.011335775,0.006648201033624716
111,Alabama,parks_percent_change_from_baseline,85,0.010273833,0.005032165828391775
112,Alabama,parks_percent_change_from_baseline,86,0.00974443,0.003667216275690363
113,Alabama,parks_percent_change_from_baseline,87,0.009308849,0.002561790964027135
114,Alabama,parks_percent_change_from_baseline,88,0.007776151,0.0017071655190267964
115,Alabama,parks_percent_change_from_baseline,89,0.007278048,0.0010794895764824496
116,Alabama,parks_percent_change_from_baseline,90,0.006567974,0.0006439118101668953
117,Alabama,parks_percent_change_from_baseline,91,0.005826801,0.00035999924585702935
118,Alabama,parks_percent_change_from_baseline,92,0.005800405,0.00018731493236855658
119,Alabama,parks_percent_change_from_baseline,93,0.004953588,9.000570601659615e-05
120,Alabama,parks_percent_change_from_baseline,94,0.003994792,3.9600768074100503e-05
121,Alabama,parks_percent_change_from_baseline,95,0.003194665,1.5806409646427335e-05
122,Alabama,parks_percent_change_from_baseline,96,0.00231396,5.6655407099401655e-06
123,Alabama,parks_percent_change_from_baseline,97,0.001624658,1.803441326487553e-06
124,Alabama,parks_percent_change_from_baseline,98,0.000808336,5.036720764485974e-07
125,Alabama,parks_percent_change_from_baseline,99,0.0,1.2179658824794304e-07
126,Alabama,residential_percent_change_from_baseline,0,0.0,0.0
127,Alabama,residential_percent_change_from_baseline,1,0.000471087,0.002501367574226587
128,Alabama,residential_percent_change_from_baseline,2,0.000940648,0.005002735147823796
129,Alabama,residential_percent_change_from_baseline,3,0.001397738,0.007504102707883261
130,Alabama,residential_percent_change_from_baseline,4,0.001854102,0.010005470158666681
131,Alabama,residential_percent_change_from_baseline,5,0.002306829,0.012506837089058217
132,Alabama,residential_percent_change_from_baseline,6,0.00269729,0.015008202223086627
133,Alabama,residential_percent_change_from_baseline,7,0.003148236,0.0175095623521175
134,Alabama,residential_percent_change_from_baseline,8,0.003504202,0.020010910504139515
135,Alabama,residential_percent_change_from_baseline,9,0.00384172,0.022512233064704137
136,Alabama,residential_percent_change_from_baseline,10,0.004268806,0.025013505525006276
137,Alabama,residential_percent_change_from_baseline,11,0.004721583,0.02751468649501529
138,Alabama,residential_percent_change_from_baseline,12,0.005252756,0.03001570958333176
139,Alabama,residential_percent_change_from_baseline,13,0.005894682,0.03251647271053635
140,Alabama,residential_percent_change_from_baseline,14,0.006709421,0.035016824389339035
141,Alabama,residential_percent_change_from_baseline,15,0.007819556,0.03751654647313589
142,Alabama,residential_percent_change_from_baseline,16,0.009390238,0.040015332845176194
143,Alabama,residential_percent_change_from_baseline,17,0.011746526,0.04251276349428162
144,Alabama,residential_percent_change_from_baseline,18,0.014066131,0.04500827340118953
145,Alabama,residential_percent_change_from_baseline,19,0.016467064,0.047501115643876865
146,Alabama,residential_percent_change_from_baseline,20,0.02115259,0.04999031812307466
147,Alabama,residential_percent_change_from_baseline,21,0.026909503,0.05247463331383409
148,Alabama,residential_percent_change_from_baseline,22,0.033144159,0.0549524804696717
149,Alabama,residential_percent_change_from_baseline,23,0.040229548,0.057421879747916876
150,Alabama,residential_percent_change_from_baseline,24,0.045519557,0.059880377795222435
151,Alabama,residential_percent_change_from_baseline,25,0.04832003,0.06232496443920956
152,Alabama,residential_percent_change_from_baseline,26,0.051319185,0.06475198028614176
153,Alabama,residential_percent_change_from_baseline,27,0.053832661,0.06715701523756969
154,Alabama,residential_percent_change_from_baseline,28,0.063069876,0.06953479822531196
155,Alabama,residential_percent_change_from_baseline,29,0.068069493,0.07187907884019287
156,Alabama,residential_percent_change_from_baseline,30,0.076308907,0.07418250201364601
157,Alabama,residential_percent_change_from_baseline,31,0.081085257,0.07643647752184868
158,Alabama,residential_percent_change_from_baseline,32,0.095978263,0.07863104683900524
159,Alabama,residential_percent_change_from_baseline,33,0.097210127,0.08075475078813153
160,Alabama,residential_percent_change_from_baseline,34,0.098334872,0.08279450253929778
161,Alabama,residential_percent_change_from_baseline,35,0.099352499,0.08473547179555792
162,Alabama,residential_percent_change_from_baseline,36,0.100263007,0.08656098748418654
163,Alabama,residential_percent_change_from_baseline,37,0.101066396,0.08825246791824352
164,Alabama,residential_percent_change_from_baseline,38,0.101762667,0.08978938917169534
165,Alabama,residential_percent_change_from_baseline,39,0.102351819,0.09114930425128813
166,Alabama,residential_percent_change_from_baseline,40,0.102833853,0.09230792744240866
167,Alabama,residential_percent_change_from_baseline,41,0.103208768,0.09323929979869217
168,Alabama,residential_percent_change_from_baseline,42,0.103476565,0.0939160529238636
169,Alabama,residential_percent_change_from_baseline,43,0.103637243,0.094309788683503
170,Alabama,residential_percent_change_from_baseline,44,0.103690802,0.09439159194244726
171,Alabama,residential_percent_change_from_baseline,45,0.103637243,0.09413269144762568
172,Alabama,residential_percent_change_from_baseline,46,0.103476565,0.09350528011837746
173,Alabama,residential_percent_change_from_baseline,47,0.103208768,0.09248349980522194
174,Alabama,residential_percent_change_from_baseline,48,0.102833853,0.09104458661016375
175,Alabama,residential_percent_change_from_baseline,49,0.090071641,0.0891701608169917
176,Alabama,residential_percent_change_from_baseline,50,0.089553175,0.08684763026345102
177,Alabama,residential_percent_change_from_baseline,51,0.101066396,0.08407165784262752
178,Alabama,residential_percent_change_from_baseline,52,0.100263007,0.0808456234708592
179,Alabama,residential_percent_change_from_baseline,53,0.099351885,0.07718298964158439
180,Alabama,residential_percent_change_from_baseline,54,0.074266726,0.07310845965717695
181,Alabama,residential_percent_change_from_baseline,55,0.071461669,0.06865880160829423
182,Alabama,residential_percent_change_from_baseline,56,0.050174606,0.06388320263781389
183,Alabama,residential_percent_change_from_baseline,57,0.049739614,0.05884302088336324
184,Alabama,residential_percent_change_from_baseline,58,0.039162905,0.05361082058004171
185,Alabama,residential_percent_change_from_baseline,59,0.035078375,0.04826861220338756
186,Alabama,residential_percent_change_from_baseline,60,0.03169525,0.04290527566058578
187,Alabama,residential_percent_change_from_baseline,61,0.02894969,0.037613219160851336
188,Alabama,residential_percent_change_from_baseline,62,0.026308781,0.03248441473623989
189,Alabama,residential_percent_change_from_baseline,63,0.028384513,0.027606044607729575
190,Alabama,residential_percent_change_from_baseline,64,0.02503288,0.02305607799077884
191,Alabama,residential_percent_change_from_baseline,65,0.024125287,0.018899160097505235
192,Alabama,residential_percent_change_from_baseline,66,0.024475939,0.015183218200701098
193,Alabama,residential_percent_change_from_baseline,67,0.023182041,0.011937160752024252
194,Alabama,residential_percent_change_from_baseline,68,0.021364714,0.009169958452441729
195,Alabama,residential_percent_change_from_baseline,69,0.020373022,0.006871254695603579
196,Alabama,residential_percent_change_from_baseline,70,0.019050967,0.005013472702367934
197,Alabama,residential_percent_change_from_baseline,71,0.017725114,0.003555194802460634
198,Alabama,residential_percent_change_from_baseline,72,0.016547526,0.002445419586944665
199,Alabama,residential_percent_change_from_baseline,73,0.01457328,0.0016281889180321412
200,Alabama,residential_percent_change_from_baseline,74,0.013568155,0.001047044319231837
201,Alabama,residential_percent_change_from_baseline,75,0.013280377,0.0006488301166717161
202,Alabama,residential_percent_change_from_baseline,76,0.012401482,0.0003864976293750979
203,Alabama,residential_percent_change_from_baseline,77,0.011271792,0.00022075078267802666
204,Alabama,residential_percent_change_from_baseline,78,0.010203006,0.00012056752908127185
205,Alabama,residential_percent_change_from_baseline,79,0.009048205,6.279218772897411e-05
206,Alabama,residential_percent_change_from_baseline,80,0.008057938,3.109150115102086e-05
207,Alabama,residential_percent_change_from_baseline,81,0.007068089,1.4591143095415325e-05
208,Alabama,residential_percent_change_from_baseline,82,0.005876087,6.468953719282386e-06
209,Alabama,residential_percent_change_from_baseline,83,0.005710273,2.7001878587079135e-06
210,Alabama,residential_percent_change_from_baseline,84,0.004765857,1.0573468170360045e-06
211,Alabama,residential_percent_change_from_baseline,85,0.003733377,3.8697301829528285e-07
212,Alabama,residential_percent_change_from_baseline,86,0.002454131,1.318515605748285e-07
213,Alabama,residential_percent_change_from_baseline,87,0.001214947,4.165391364623153e-08
214,Alabama,residential_percent_change_from_baseline,88,0.0,1.2148909765629631e-08
215,Alabama,retail_and_recreation_percent_change_from_baseline,0,0.0,0.0
216,Alabama,retail_and_recreation_percent_change_from_baseline,1,0.000862044,0.000997801426464446
217,Alabama,retail_and_recreation_percent_change_from_baseline,2,0.001737215,0.001995602699408315
218,Alabama,retail_and_recreation_percent_change_from_baseline,3,0.00267148,0.0029934025788918915
219,Alabama,retail_and_recreation_percent_change_from_baseline,4,0.003602127,0.003991196504739475
220,Alabama,retail_and_recreation_percent_change_from_baseline,5,0.004490995,0.004988973113395965
221,Alabama,retail_and_recreation_percent_change_from_baseline,6,0.00541045,0.005986709581872992
222,Alabama,retail_and_recreation_percent_change_from_baseline,7,0.00659275,0.006984365849533333
223,Alabama,retail_and_recreation_percent_change_from_baseline,8,0.007622685,0.00798187775569364
224,Alabama,retail_and_recreation_percent_change_from_baseline,9,0.008612694,0.008979149124630477
225,Alabama,retail_and_recreation_percent_change_from_baseline,10,0.009305816,0.009976042826801902
226,Alabama,retail_and_recreation_percent_change_from_baseline,11,0.009804926,0.010972370845038507
227,Alabama,retail_and_recreation_percent_change_from_baseline,12,0.010595412,0.011967883376856277
228,Alabama,retail_and_recreation_percent_change_from_baseline,13,0.011352819,0.012962257008933992
229,Alabama,retail_and_recreation_percent_change_from_baseline,14,0.012590059,0.013955082007368835
230,Alabama,retail_and_recreation_percent_change_from_baseline,15,0.01326333,0.014945848777853427
231,Alabama,retail_and_recreation_percent_change_from_baseline,16,0.014031998,0.015933933563734636
232,Alabama,retail_and_recreation_percent_change_from_baseline,17,0.01479894,0.0169185834673754
233,Alabama,retail_and_recreation_percent_change_from_baseline,18,0.016393099,0.017898900901706063
234,Alabama,retail_and_recreation_percent_change_from_baseline,19,0.017646064,0.018873827604664453
235,Alabama,retail_and_recreation_percent_change_from_baseline,20,0.018937539,0.01984212837968692
236,Alabama,retail_and_recreation_percent_change_from_baseline,21,0.020596309,0.020802374760757997
237,Alabama,retail_and_recreation_percent_change_from_baseline,22,0.022194854,0.0217529288408854
238,Alabama,retail_and_recreation_percent_change_from_baseline,23,0.023862367,0.022691927548228862
239,Alabama,retail_and_recreation_percent_change_from_baseline,24,0.025329886,0.023617267704279805
240,Alabama,retail_and_recreation_percent_change_from_baseline,25,0.025586402,0.02452659225303163
241,Alabama,retail_and_recreation_percent_change_from_baseline,26,0.025492581,0.025417278108271074
242,Alabama,retail_and_recreation_percent_change_from_baseline,27,0.026562195,0.026286426126879023
243,Alabama,retail_and_recreation_percent_change_from_baseline,28,0.026797658,0.027130853777855266
244,Alabama,retail_and_recreation_percent_change_from_baseline,29,0.026888666,0.027947091137692007
245,Alabama,retail_and_recreation_percent_change_from_baseline,30,0.027400098,0.02873138090018892
246,Alabama,retail_and_recreation_percent_change_from_baseline,31,0.028642183,0.029479683139703644
247,Alabama,retail_and_recreation_percent_change_from_baseline,32,0.029910672,0.030187685607409653
248,Alabama,retail_and_recreation_percent_change_from_baseline,33,0.031361444,0.030850820365985635
249,Alabama,retail_and_recreation_percent_change_from_baseline,34,0.031557275,0.03146428757425891
250,Alabama,retail_and_recreation_percent_change_from_baseline,35,0.032027203,0.03202308721408084
251,Alabama,retail_and_recreation_percent_change_from_baseline,36,0.032800745,0.03252205950109578
252,Alabama,retail_and_recreation_percent_change_from_baseline,37,0.03350233,0.03295593463279702
253,Alabama,retail_and_recreation_percent_change_from_baseline,38,0.034063926,0.03331939239508244
254,Alabama,retail_and_recreation_percent_change_from_baseline,39,0.034975394,0.033607131966548034
255,Alabama,retail_and_recreation_percent_change_from_baseline,40,0.035352559,0.03381395202294354
256,Alabama,retail_and_recreation_percent_change_from_baseline,41,0.035414348,0.03393484094890521
257,Alabama,retail_and_recreation_percent_change_from_baseline,42,0.036372107,0.033965076608657725
258,Alabama,retail_and_recreation_percent_change_from_baseline,43,0.033055396,0.033900334712971714
259,Alabama,retail_and_recreation_percent_change_from_baseline,44,0.031136809,0.03373680435092386
260,Alabama,retail_and_recreation_percent_change_from_baseline,45,0.029693203,0.033471308740847486
261,Alabama,retail_and_recreation_percent_change_from_baseline,46,0.02941757,0.033101428709160496
262,Alabama,retail_and_recreation_percent_change_from_baseline,47,0.029195559,0.03262562584789182
263,Alabama,retail_and_recreation_percent_change_from_baseline,48,0.029012453,0.03204336175687916
264,Alabama,retail_and_recreation_percent_change_from_baseline,49,0.028767005,0.03135520927571176
265,Alabama,retail_and_recreation_percent_change_from_baseline,50,0.031636019,0.030562951189712168
266,Alabama,retail_and_recreation_percent_change_from_baseline,51,0.032406291,0.02966966159390924
267,Alabama,retail_and_recreation_percent_change_from_baseline,52,0.033066448,0.028679764961773425
268,Alabama,retail_and_recreation_percent_change_from_baseline,53,0.032075673,0.02759906803413279
269,Alabama,retail_and_recreation_percent_change_from_baseline,54,0.030463334,0.026434759957606028
270,Alabama,retail_and_recreation_percent_change_from_baseline,55,0.028922218,0.025195376693503926
271,Alabama,retail_and_recreation_percent_change_from_baseline,56,0.025617873,0.02389072660861544
272,Alabama,retail_and_recreation_percent_change_from_baseline,57,0.022862214,0.02253177535406147
273,Alabama,retail_and_recreation_percent_change_from_baseline,58,0.021023781,0.021130489623004258
274,Alabama,retail_and_recreation_percent_change_from_baseline,59,0.019621797,0.01969964111454167
275,Alabama,retail_and_recreation_percent_change_from_baseline,60,0.018343508,0.018252573955993306
276,Alabama,retail_and_recreation_percent_change_from_baseline,61,0.017163276,0.0168029408592737
277,Alabama,retail_and_recreation_percent_change_from_baseline,62,0.015875767,0.01536441529525079
278,Alabama,retail_and_recreation_percent_change_from_baseline,63,0.015244625,0.013950388829561197
279,Alabama,retail_and_recreation_percent_change_from_baseline,64,0.014253437,0.012573664329219102
280,Alabama,retail_and_recreation_percent_change_from_baseline,65,0.012835708,0.011246156875237915
281,Alabama,retail_and_recreation_percent_change_from_baseline,66,0.010717695,0.009978614767798478
282,Alabama,retail_and_recreation_percent_change_from_baseline,67,0.008174951,0.008780372878618893
283,Alabama,retail_and_recreation_percent_change_from_baseline,68,0.005543109,0.007659149721776466
284,Alabama,retail_and_recreation_percent_change_from_baseline,69,0.002862517,0.006620897963968936
285,Alabama,retail_and_recreation_percent_change_from_baseline,70,0.0,0.005669715725015957
286,Alabama,transit_stations_percent_change_from_baseline,0,0.0,0.0
287,Alabama,transit_stations_percent_change_from_baseline,1,0.00095544,0.0012218643412133837
288,Alabama,transit_stations_percent_change_from_baseline,2,0.00191362,0.0024436725615936254
289,Alabama,transit_stations_percent_change_from_baseline,3,0.00289482,0.003665239898494055
290,Alabama,transit_stations_percent_change_from_baseline,4,0.003858304,0.0048862054488584316
291,Alabama,transit_stations_percent_change_from_baseline,5,0.004849758,0.0061060048038119345
292,Alabama,transit_stations_percent_change_from_baseline,6,0.005911998,0.007323849000569328
293,Alabama,transit_stations_percent_change_from_baseline,7,0.006873164,0.008538707466743121
294,Alabama,transit_stations_percent_change_from_baseline,8,0.007778887,0.009749294070125335
295,Alabama,transit_stations_percent_change_from_baseline,9,0.008710217,0.010954055925513882
296,Alabama,transit_stations_percent_change_from_baseline,10,0.009519216,0.01215116487654017
297,Alabama,transit_stations_percent_change_from_baseline,11,0.010034826,0.013338511723576845
298,Alabama,transit_stations_percent_change_from_baseline,12,0.010887379,0.014513703364642618
299,Alabama,transit_stations_percent_change_from_baseline,13,0.011637615,0.01567406307813752
300,Alabama,transit_stations_percent_change_from_baseline,14,0.013065583,0.016816634214952154
301,Alabama,transit_stations_percent_change_from_baseline,15,0.013845404,0.017938187588105708
302,Alabama,transit_stations_percent_change_from_baseline,16,0.014587767,0.01903523285296034
303,Alabama,transit_stations_percent_change_from_baseline,17,0.015081272,0.02010403416121348
304,Alabama,transit_stations_percent_change_from_baseline,18,0.01670386,0.021140630347542204
305,Alabama,transit_stations_percent_change_from_baseline,19,0.017707059,0.02214085986888731
306,Alabama,transit_stations_percent_change_from_baseline,20,0.019250021,0.023100390662750513
307,Alabama,transit_stations_percent_change_from_baseline,21,0.021230596,0.024014755022452667
308,Alabama,transit_stations_percent_change_from_baseline,22,0.022279696,0.02487938950419939
309,Alabama,transit_stations_percent_change_from_baseline,23,0.023351594,0.02568967978349013
310,Alabama,transit_stations_percent_change_from_baseline,24,0.025148171,0.02644101026778214
311,Alabama,transit_stations_percent_change_from_baseline,25,0.025532599,0.02712881814978329
312,Alabama,transit_stations_percent_change_from_baseline,26,0.025946198,0.027748651453271003
313,Alabama,transit_stations_percent_change_from_baseline,27,0.027074776,0.028296230483508107
314,Alabama,transit_stations_percent_change_from_baseline,28,0.02848197,0.028767511950378504
315,Alabama,transit_stations_percent_change_from_baseline,29,0.029622957,0.029158754888157976
316,Alabama,transit_stations_percent_change_from_baseline,30,0.030935096,0.029466587355827266
317,Alabama,transit_stations_percent_change_from_baseline,31,0.031582914,0.029688072771008787
318,Alabama,transit_stations_percent_change_from_baseline,32,0.031848466,0.02982077461436625
319,Alabama,transit_stations_percent_change_from_baseline,33,0.032612835,0.029862818145314753
320,Alabama,transit_stations_percent_change_from_baseline,34,0.031869289,0.029812947699893993
321,Alabama,transit_stations_percent_change_from_baseline,35,0.030547088,0.02967057810326302
322,Alabama,transit_stations_percent_change_from_baseline,36,0.029392011,0.02943583872768454
323,Alabama,transit_stations_percent_change_from_baseline,37,0.028854847,0.029109608766607765
324,Alabama,transit_stations_percent_change_from_baseline,38,0.028536067,0.028693542380091006
325,Alabama,transit_stations_percent_change_from_baseline,39,0.029270882,0.02819008249863251
326,Alabama,transit_stations_percent_change_from_baseline,40,0.030035166,0.027602462252273415
327,Alabama,transit_stations_percent_change_from_baseline,41,0.03065953,0.026934693218607173
328,Alabama,transit_stations_percent_change_from_baseline,42,0.030611349,0.02619153995412567
329,Alabama,transit_stations_percent_change_from_baseline,43,0.027762855,0.02537848058313439
330,Alabama,transit_stations_percent_change_from_baseline,44,0.02606166,0.02450165356016205
331,Alabama,transit_stations_percent_change_from_baseline,45,0.024820865,0.0235677910862309
332,Alabama,transit_stations_percent_change_from_baseline,46,0.024383996,0.02258414003556751
333,Alabama,transit_stations_percent_change_from_baseline,47,0.02315224,0.021558371624806037
334,Alabama,transit_stations_percent_change_from_baseline,48,0.022479796,0.02049848141784035
335,Alabama,transit_stations_percent_change_from_baseline,49,0.022297375,0.019412681592000557
336,Alabama,transit_stations_percent_change_from_baseline,50,0.024353938,0.01830928768096391
337,Alabama,transit_stations_percent_change_from_baseline,51,0.023467627,0.017196602243260993
338,Alabama,transit_stations_percent_change_from_baseline,52,0.022458862,0.016082798070305358
339,Alabama,transit_stations_percent_change_from_baseline,53,0.020300859,0.014975803634558622
340,Alabama,transit_stations_percent_change_from_baseline,54,0.01797458,0.013883193479491079
341,Alabama,transit_stations_percent_change_from_baseline,55,0.015245072,0.012812086164452249
342,Alabama,transit_stations_percent_change_from_baseline,56,0.011663132,0.011769052199186626
343,Alabama,transit_stations_percent_change_from_baseline,57,0.0088381,0.010760034138228711
